Article title;Author(s);Journal;Issue;Citations (WoS);CrossRef;Scopus;IUCr;Altmetric;Views;Category;Topic;Access;Keywords;Review scores
On an extension of Krivovichev's complexity measures;W. Hornfeck;A;July 2020;1;2;1;0;1;203;fa;;;"Shannon entropy; Krivovichev complexity; strong additivity; crystal structure classification; structural complexity";4.5 (5,4)
A cloud platform for atomic pair distribution function analysis: PDFitc;L. Yang, E. A. Culbertson, N. K. Thomas, H. T. Vuong, E. T. S. Kjær, K. M.Ø. Jensen, M. G. Tucker and S. J. L. Billinge;A;January 2021;1;1;0;0;1;879;fa;;Open;"pair distribution function; PDF; data analysis; web applications; cloud computing";4.0 (4,4)
Symmetry groups associated with tilings on a flat torus;M. L. Loyola, M. L. A. N. De Las Peñas, G. M. Estrada and E. B. Santoso;A;January 2015;1;1;1;0;1;658;fa;;;"nanotori; flat torus; symmetry groups; color symmetry";
Eighteenth-century forms of quasicrystals;C. M. Pina and V. López-Acevedo;A;January 2016;1;2;2;0;3;597;sc;;;"quasicrystals; crystallographic models; Romé de L'Isle; symmetry analysis";
Construction of weavings in the plane;E. D. Miro, A. Zambrano and A. Garciano;A;January 2018;1;1;1;0;3;400;fa;;;"tilings; triangle groups; colorings; nets; weavings";3.5 (4,3)
Accelerated scattering of convex polyhedra;Y. L. Voytekhovsky;A;September 2017;1;1;0;0;1;121;sc;;;"convex polyhedra and polyacra; minimum and maximum names; asymptotic relationships";3.0 (3)
Surface embeddings of the Klein and the Möbius-Kantor graphs;M. C. Pedersen, O. Delgado-Friedrichs and S. T. Hyde;A;May 2018;1;2;1;0;1;216;fa;;;"periodic nets; Klein graph; Möbius-Kantor graph";3.5 (4,3)
Coordination numbers of the vertex graph of a Penrose tiling;A. Shutov and A. Maleev;A;March 2018;1;1;1;0;1;172;fa;;;"vertex graphs; Penrose tilings; quasiperiodic graphs; coordination sequences";3.3 (4,4,2)
Gröbner-Shirshov bases for non-crystallographic Coxeter groups;J.-Y. Lee and D.-I. Lee;A;May 2019;1;1;1;0;1;77;fa;;;"Coxeter groups; Gröbner-Shirshov basis; standard monomials";3.0 (4,2)
Algorithm for distance list extraction from pair distribution functions;R. Gu, S. Banerjee, Q. Du and S. J. L. Billinge;A;September 2019;1;2;1;0;2;525;fa;;;"pair distribution function; distance list; peak extraction; Debye scattering equation; curve fitting";4.0 (4)
Crystallography of three-dimensional fluid flows with chirality in hexagonal cases;T. Nishiyama;A;November 2019;1;1;1;0;2;200;fa;;;"magnetic groups; chirality; hexagonal symmetry; Beltrami flow; invariant torus";4.0 (4)
Characterizing modulated structures with first-principles calculations: a unified superspace scheme of ordering in mullite;P. B. Klar, I. Etxebarria and G. Madariaga;A;March 2019;1;1;1;1;3;2934;fa;aperiodic 2018;Open;"density functional theory (DFT); superspace; modulation functions; Al/Si ordering; silicates; mullite";4.5 (5,4)
Ted Janssen and aperiodic crystals;M. de Boissieu;A;March 2019;1;1;1;1;5;2434;fa;aperiodic 2018;Open;"aperiodic crystals; superspace crystallography; lattice dynamics; phasons; Ted Janssen";3.5 (4,3)
Peter J. W. Debye - a whole life devoted to science;G. Dalba;A;November 2016;1;1;0;1;4;1048;fa;100 years of the Debye scattering equation;;"Peter J. W. Debye; biography; Debye scattering equation; X-ray scattering";3.0 (3)
The quaternion-based spatial-coordinate and orientation-frame alignment problems;A. J. Hanson;A;July 2020;1;2;2;0;5;1349;la;;Open;"data alignment; spatial-coordinate alignment; orientation-frame alignment; quaternions; quaternion frames; quaternion eigenvalue methods";3.5 (4,3)
Using the singular value decomposition to extract 2D correlation functions from scattering patterns;P. Bender, D. Zákutná, S. Disch, L. Marcano, D. Alba Venero and D. Honecker;A;September 2019;1;2;1;0;7;175;fa;;;"small-angle scattering; correlation function; 2D Fourier transform; anisotropic nanoparticles; singular value decomposition; anisotropic structures; nanoparticles; noise filtering";2.5 (3,2)
A universal algorithm for finding the shortest distance between systems of points;I. A. Blatov, E. V. Kitaeva, A. P. Shevchenko and V. A. Blatov;A;November 2019;1;1;1;0;1;270;fa;;;"systems of points; shortest distance; algorithms";2.5 (4,1)
Derived crystal structure of martensitic materials by solid-solid phase transformation;M. Karami, N. Tamura, Y. Yang and X. Chen;A;July 2020;1;1;1;0;1;247;fa;;;"derived lattice; martensitic phase transformation; structure determination; synchrotron X-ray diffraction";3.5 (4,3)
Wedge reversion antisymmetry and 41 types of physical quantities in arbitrary dimensions;V. Gopalan;A;May 2020;1;1;1;0;4;281;fa;;;"multivectors; wedge reversion antisymmetry; Clifford algebra";3.0 (3)
The chord-length distribution of a polyhedron;S. Ciccariello;A;July 2020;1;1;0;0;;84;fa;;;"small-angle scattering; stochastic geometry; integral geometry; chord-length distribution; polyhedra; asymptotic behaviour";3.3 (4,3,3)
X-ray diffraction from strongly bent crystals and spectroscopy of X-ray free-electron laser pulses;V. M. Kaganer, I. Petrov and L. Samoylova;A;January 2020;1;1;0;0;2;1514;fa;;Open;"X-ray free-electron lasers; X-ray spectroscopy; bent crystals; diamond crystal optics; femtosecond X-ray diffraction; dynamical diffraction";4.0 (5,5,4,2)
A flexible and standalone forward simulation model for laboratory X-ray diffraction contrast tomography;H. Fang, D. Juul Jensen and Y. Zhang;A;November 2020;1;2;1;0;2;607;fa;;Open;"3D grain mapping; diffraction contrast tomography; X-ray diffraction; forward simulation; grain reconstruction";3.0 (3,3)
The atomic anisotropic displacement tensor - completing the picture;G. Thorkildsen and H. B. Larsen;A;July 2015;1;1;1;1;1;332;sc;;;"anisotropic displacement tensor; transformations among tensor representations; site-symmetry restrictions; equivalent isotropic displacement parameter";1.0 (1)
On the possibility of using X-ray Compton scattering to study magnetoelectrical properties of crystals;S. P. Collins, D. Laundy, T. Connolley, G. van der Laan, F. Fabrizi, O. Janssen, M. J. Cooper, H. Ebert and S. Mankovsky;A;March 2016;1;1;1;0;0;4151;fa;;Open;"Compton scattering; magnetoelectric properties; synchrotron radiation; density functional theory; DFT; Korringa-Kohn-Rostoker (KKR) Green's function method; KKR method";5.0 (5)
Multidimensional period doubling structures;J.-Y. Lee, D. Flom and S. I. Ben-Abraham;A;May 2016;1;0;1;1;1;123;fa;;;"aperiodic structures; period doubling structures; pure point diffraction";1.5 (2,1)
Groupoids and labelled quotient graphs: a topological analysis of the modular structure in pyroxenes;J.-G. Eon;A;May 2017;1;0;1;0;1;207;fa;;;"pyroxenes; space groupoids; labelled quotient graphs; modular structures";4.0 (5,3)
Close-packed structure dynamics with finite-range interaction: computational mechanics with individual layer interaction;E. Rodriguez-Horta, E. Estevez-Rams, R. Lora-Serrano and R. Neder;A;September 2017;1;0;1;0;2;361;fa;;;"polytypes; computational mechanics; close-packed structure dynamics";4.0 (4)
Blind lattice-parameter determination of cubic and tetragonal phases with high accuracy using a single EBSD pattern;M. Han, C. Chen, G. Zhao, L. Li, G. Nolze, B. Yu, X. Huang and Y. Zhu;A;November 2018;1;3;3;0;9;411;fa;;;"electron backscatter diffraction; EBSD; Bravais lattices; lattice parameters; Kikuchi patterns";4.0 (4)
An accurate theory of X-ray coplanar multiple SRMS diffractometry;V. G. Kohn;A;November 2018;1;1;1;0;2;125;fa;;;"X-ray diffraction; silicon crystal; multiple diffraction; synchrotron radiation; slit diffraction";3.0 (3,3)
Identification of the impurity phase in high-purity CeB6 by convergent-beam electron diffraction;D. Peng and P. N. H. Nakashima;A;May 2019;1;0;1;0;2;280;fa;;;"space groups; convergent-beam electron diffraction; impurity phases; quantitative convergent-beam electron diffraction; Gjønnes-Moodie lines; cerium hexaboride (CeB6); cerium tetraboride (CeB4)";3.5 (4,3)
Towards a solution of the inverse X-ray diffraction tomography challenge: theory and iterative algorithm for recovering the 3D displacement field function of Coulomb-type point defects in a crystal;F. N. Chukhovskii, P. V. Konarev and V. V. Volkov;A;March 2020;1;1;1;0;2;209;fa;;;"inverse X-ray diffraction tomography problem; semi-kinematical solution of the Takagi-Taupin equations; Coulomb-type point defects; quasi-Newton-Levenberg-Marquardt-simulated annealing algorithm";3.0 (3,3)
To superspace and beyond;M. S. Senn;A;January 2017;1;1;1;0;1;2569;ss;;Free;"structure-property relationships; superspace; incommensurate structures; irreducible representations; charge-density waves; phase transitions";
Approximating coincidence - turning a new page for bicrystallography;S. Patala;A;March 2017;1;1;1;0;1;2038;ss;;Free;"bicrystallography; coincidence site lattice; interfaces";
A symmetry roadmap to new perovskite multiferroics;P. M. Woodward;A;July 2018;1;1;1;0;7;2255;ss;;Free;"perovskites; multiferroics; symmetry";
The phantom derivative method when a structure model is available: about its theoretical basis;M. C. Burla, G. L. Cascarano, C. Giacovazzo and G. Polidori;A;May 2017;1;1;1;1;5;219;fa;;;"phasing; proteins; phantom derivative method";3.0 (5,1)
Structure evolution of h.c.p./c.c.p. metal oxide interfaces in solid-state reactions;C. Li, G. Habler, T. Griffiths, A. Rečnik, P. Jeřábek, L. C. Götze, C. Mangler, T. J. Pennycook, J. Meyer and R. Abart;A;September 2018;1;1;2;0;2;237;fa;;;"interface migration; partial dislocations; aberration-corrected STEM; h.c.p./c.c.p. (h.c.p./f.c.c.) lattices; dislocation glide";4.5 (5,4)
Hexagonal projected symmetries;J. F. Oliveira, S. B. S. D. Castro and I. S. Labouriau;A;September 2015;1;1;1;0;2;193;fa;;;"Symmetric patterns; projected patterns; hexagonal symmetries";3.0 (4,2)
On the use of the Obara-Saika recurrence relations for the calculation of structure factors in quantum crystallography;A. Genoni;A;March 2020;1;3;1;0;2;228;fa;;;"quantum crystallography; structure factors; Fourier transform integrals; Obara-Saika recurrence relations";3.0 (4,4,1)
Symmetry of semi-reduced lattices;K. Stróż;A;May 2015;1;2;1;1;1;242;fa;;;"reduced cell; metric symmetry; symmetry matrix";3.0 (3)
MPF, a multipurpose figure of merit for phasing procedures;M. C. Burla, B. Carrozzini, G. L. Cascarano, C. Giacovazzo and G. Polidori;A;January 2017;1;1;1;0;1;565;fa;;;"figure of merit; phasing; phase refinement; direct methods";2.0 (3,1)
About difference electron densities and their properties;M. C. Burla, B. Carrozzini, G. L. Cascarano, C. Giacovazzo and G. Polidori;A;November 2017;1;1;1;0;1;434;fa;;;"phasing; difference Fourier syntheses; joint probability distribution functions";4.0 (4)
Spatial displacement of forward-diffracted X-ray beams by perfect crystals;A. Rodriguez-Fernandez, V. Esposito, D. F. Sanchez, K. D. Finkelstein, P. Juranic, U. Staub, D. Grolimund, S. Reiche and B. Pedrini;A;March 2018;1;0;1;0;1;2327;fa;;Open;"X-ray dynamical diffraction; perfect crystals; transverse echo displacement; hard X-ray self-seeding";4.0 (5,3)
Updating direct methods;C. Giacovazzo;A;January 2019;1;1;1;0;3;655;fa;;;"phasing; direct methods; joint probability distributions; ab initio techniques; prior information";2.0 (2)
Quantitative theory of diffraction by cylindrical scroll nanotubes;A. Khadiev and Z. Khalitov;A;May 2018;1;1;1;0;1;177;fa;;;"multiwall nanotubes; scroll nanotubes; nanoscrolls; diffraction by nanotubes";2.5 (3,2)
Experimental and theoretical investigations of an X-ray LLL interferometer with a wedge-shaped mirror plate;T. H. Eyramjyan, T. S. Mnatsakanyan and M. K. Balyan;A;September 2018;1;1;1;0;2;112;fa;;;"LLL interferometers; wedge-shaped mirror plate; Pendellösung fringes; Moiré fringes; superposition";1.0 (1)
Energy flow of Bloch waves in X-ray dynamical diffraction in the Laue case for perfect crystals;T. Saka;A;September 2018;1;1;1;1;1;122;fa;;;"X-ray diffraction; dynamical theory; energy flow; Bloch waves; Poynting vectors";2.5 (3,2)
The real part of the dispersion surface in X-ray dynamical diffraction in the Laue case for perfect crystals;T. Saka;A;September 2018;1;1;1;1;1;114;fa;;;"X-ray diffraction; dynamical theory; real part of the dispersion surface; Laue case";4.0 (4)
Atomic scale analyses of {\bb Z}-module defects in an NiZr alloy;A. Sirindil, R. Kobold, F. Mompiou, S. Lartigue-Korinek, L. Perriere, G. Patriarche, M. Quiquandon and D. Gratias;A;November 2018;1;1;1;0;1;1997;fa;;Open;"{\bb Z}-module; defects; twins; dislocations; HREM-HAADF";3.5 (4,3)
A parameter-free double-shear theory for lath martensite;K. Koumatos and A. Muehlemann;A;November 2019;1;1;1;0;1;171;fa;;;"lath martensite; double shear; 557 habit planes; orientation relationships; f.c.c. to b.c.c. transformations; low-carbon steel; Kurdjumov-Sachs; Nishiyama-Wassermann";2.0 (3,1)
Theoretical study of the properties of X-ray diffraction moiré fringes. II. Illustration of angularly integrated moiré images;J. Yoshimura;A;July 2019;1;1;1;0;1;1741;fa;;Open;"diffraction moiré fringes; rotation moiré; Pendellösung oscillation; gap phase difference; integrated moiré images";2.5 (4,1)
Crystallographic descriptions of regular 2-periodic weavings of threads, loops and nets;M. O'Keeffe and M. M. J. Treacy;A;March 2020;1;2;1;0;2;554;fa;;;"2-periodic weavings; nets; threads; loops; regular structures";3.0 (3)
Groupoid description of modular structures;M. Nespolo, B. Souvignier and B. Stöger;A;May 2020;1;1;1;0;4;176;fa;;;"modular crystal structures; groupoids; subperiodic groups; superposition structures; polytypism";3.5 (4,3)
Embedding-theory-based simulations using experimental electron densities for the environment;N. Ricardi, M. Ernst, P. Macchi and T. A. Wesolowski;A;September 2020;1;0;1;0;2;662;fa;;Open;"quantum crystallography; density embedding; multi-scale simulations; electronic structure; chromophores";4.5 (5,4)
Measurement and alleviation of subsurface damage in a thick-crystal neutron interferometer;B. Heacock, R. Haun, K. Hirota, T. Hosobata, M. G. Huber, M. E. Jamer, M. Kitaguchi, D. A. Pushin, H. Shimizu, I. Taminiau, Y. Yamagata, T. Yamamoto and A. R. Young;A;November 2019;1;1;1;0;1;212;fa;;;"silicon; interferometers; neutrons; machining; annealing";4.0 (4,4)
A real-space approach to the analysis of stacking faults in close-packed metals: G(r) modelling and Q-space feedback;A. Longo, F. Giannici, L. Sciortino and A. Martorana;A;January 2020;1;1;1;0;1;401;fa;;;"stacking faults; pair distribution function; Debye function analysis; close-packed metals; cobalt";3.5 (4,3)
X-ray reflectivity of chemically vapor-deposited diamond single crystals in the Laue geometry;S. Stoupin, J. P. C. Ruff, T. Krawczyk and K. D. Finkelstein;A;September 2018;1;1;1;0;2;147;fa;;;"CVD diamond; X-ray reflectivity; microstructure; X-ray topography; rocking curves; Laue geometry; Darwin-Hamilton equations";3.5 (4,3)
Experimentally obtained and computer-simulated X-ray asymmetric eight-beam pinhole topographs for a silicon crystal;K. Okitsu, Y. Imai, Y. Yoda and Y. Ueji;A;May 2019;1;1;1;1;1;1734;fa;;Open;"X-ray diffraction; dynamical theory; multiple reflection; computer simulation; n-beam reflection; phase problem; silicon; protein crystallography";4.0 (4,4)
Experimentally obtained and computer-simulated X-ray non-coplanar 18-beam pinhole topographs for a silicon crystal;K. Okitsu, Y. Imai and Y. Yoda;A;May 2019;1;1;0;1;1;21374;fa;;Open;"X-ray diffraction; dynamical theory; multiple reflection; n-beam reflection; phase problem; protein crystallography";2.0 (2)
Residue-based scattering factors;H. Xu;A;November 2016;0;0;0;0;3;231;fa;;;"X-ray diffraction; amino-acid residues; residue-based scattering factors; macromolecular crystallography; ab initio structure determination";2.5 (4,1)
Constraint-induced direct phasing method;H. Xu;A;January 2017;0;0;0;0;0;522;fa;;;"powder diffraction; powder Shake-and-Bake; direct phasing methods; low-resolution data";3.0 (3,3)
Lattice reduction using a Euclidean algorithm;A. Mujica;A;January 2017;0;0;0;0;1;629;fa;;;"reduction of lattices; ab initio calculations; structure search; Euclidean algorithm; supercells";3.0 (3,3)
On the Penrose and Taylor-Socolar hexagonal tilings;J.-Y. Lee and R. V. Moody;A;May 2017;0;0;0;0;3;1794;fa;;Open;"Penrose tiling; Taylor-Socolar tiling; double hexagon tiling; nested triangularizations; inverse sequences of hierarchical lattices";3.5 (4,3)
Modeling of energy-dispersive X-ray diffraction for high-symmetry crystal orientation;D. Dragoi and A. Dragoi;A;January 2019;0;0;0;0;2;564;fa;;;"EDXRD method; extended stereographic projection; equation of orientation; generalized reduced gradient method; evolving XRD methods";3.5 (4,3)
Shape transform phasing of edgy nanocrystals;J. P. J. Chen, J. J. Donatelli, K. E. Schmidt and R. A. Kirian;A;March 2019;0;2;0;0;3;408;fa;;;"iterative projection algorithms; shape transforms; shape transform phasing; phase retrieval; nanocrystals; serial femtosecond crystallography; X-ray free-electron lasers";4.0 (4,4)
On the real combinations of cubes and octahedra;Y. L. Voytekhovsky and D. G. Stepenshchikov;A;March 2020;0;0;0;0;1;240;sc;;;"cubes; octahedra; symmetry point groups; automorphism group order; natural diamonds";2.0 (3,2,1)
Monte Carlo simulation of coherently scattered photons based on the inverse-sampling technique;W. Muhammad, Y. Liang, G. R. Hart, B. J. Nartowt and J. Deng;A;January 2020;0;0;0;0;2;373;fa;;;"Rayleigh scattering; Monte Carlo simulation; atomic form factors; anomalous scattering factors; total cross sections; differential cross sections";
Extending the Debye scattering equation for diffraction from a cylindrically averaged group of atoms: detecting molecular orientation at an interface;A. E. Ross, McCulloch,D. G. and D. R. McKenzie;A;July 2020;0;0;0;0;1;165;fa;;;"Debye scattering equation; diffraction; biomolecules; orientation; modelling";2.5 (3,2)
Multiple Bragg reflection by a thick mosaic crystal. II. Simplified transport equation solved on a grid;F. Bornemann, Y. Y. Li and J. Wuttke;A;May 2020;0;0;0;0;2;724;fa;;Open;"mosaic crystals; multiple scattering; Darwin-Hamilton equations; spectral collocation";2.5 (3,2)
Novel phasing method using the origin-free modulus sum function expressed in terms of the absolute electron density;J. Rius;A;July 2020;0;0;0;0;;129;fa;;;"modulus sum function; direct methods; structure solution; phasing methods; Patterson function";3.0 (4,2)
Inflation versus projection sets in aperiodic systems: the role of the window in averaging and diffraction;M. Baake and U. Grimm;A;September 2020;0;0;0;0;7;797;tr;;Open;"quasicrystals; projection method; inflation rules; diffraction; hyperuniformity";3.5 (4,3)
On the Σ classes in E6;P. Engel;A;September 2020;0;0;0;0;1;108;fa;;;"translation lattices; parallelohedra; cone of positive quadratic forms; Sigma classes";3.5 (4,3)
Algorithms for target transformations of lattice basis vectors;S. Gorfman;A;November 2020;0;0;0;0;2;494;fa;;Open;"crystal lattice; transformations; lattice planes; zones";3.5 (4,3)
Dodecahedral structures with Mosseri-Sadoc tiles;N. Ozdes Koca, R. Koc, M. Koca and A. Al-Siyabi;A;March 2021;0;0;0;0;1;96;fa;;;"icosahedral quasicrystals; aperiodic tiling; lattices; projections of polytopes; polyhedra";3.0 (3,3)
The affine and Euclidean normalizers of the subperiodic groups;B. K. VanLeeuwen, P. Valentín De Jesús, D. B. Litvin and V. Gopalan;A;March 2015;0;0;0;0;1;212;fa;;;"subperiodic groups; normalizers; affine normalizers; Euclidean normalizers";
On the number of k-faces of primitive parallelohedra;B. Zhilinskii;A;March 2015;0;0;0;0;1;157;fa;;;"primitive parallelohedra; simple polytopes; Dehn-Sommerville relations";3.5 (4,4,3,3)
Symmetries and color symmetries of a family of tilings with a singular point;I. F. Evidente, R. P. Felix and M. J. C. Loquias;A;November 2015;0;0;0;0;2;237;fa;;;"tilings with singularity; regular tiling; conformal map; symmetry group; perfect coloring";3.0 (3)
Symmetry-adapted digital modeling III. Coarse-grained icosahedral viruses;A. Janner;A;May 2016;0;2;0;0;1;179;fa;;;"symmetry; biomacromolecules; higher-dimensional space";
The Rome de Lisle problem;Y. L. Voytekhovsky and D. G. Stepenshchikov;A;November 2017;0;0;0;0;1;208;sc;;;"crystal closed simple forms; symmetry classes; vertex and edge truncations; Rome de Lisle problem; crystalline polyhedra";3.0 (3)
Monoclinic sphere packings. II. Trivariant lattice complexes with mirror symmetry;H. Sowa;A;March 2018;0;0;0;0;1;152;fa;;;"sphere packings; monoclinic crystal system; trivariant lattice complexes";4.0 (4,4)
Primitive substitution tilings with rotational symmetries;A. L. D. Say-awen, M. L. A. N. De Las Peñas and D. Frettlöh;A;July 2018;0;0;0;0;1;137;fa;;;"symmetry order; aperiodic tilings; substitution tilings; rotation-invariant tilings; dense tile orientations";4.0 (4)
Plesiotwins versus diperiodic twins;M. Nespolo;A;July 2018;0;1;0;1;2;151;fa;;;"twinning; hemitropy; plesiotwins; diperiodic twins; coincidence site lattice";4.5 (5,4)
k-Isocoronal tilings;E. Taganap and M. L. A. De Las Peñas;A;January 2019;0;0;0;0;2;568;fa;;;"k-isocoronal tilings; vertex-k-transitive tilings; k-uniform tilings; isocoronal tilings; uniform tilings";3.5 (4,3)
The polytopes of the H3 group with 60 vertices and their orbit decompositions;E. Bourret and Z. Grabowiecka;A;May 2019;0;0;0;0;1;147;fa;;;"Coxeter groups; polytopes; orbit decomposition";3.0 (3,3)
Coordination shells and coordination numbers of the vertex graph of the Ammann-Beenker tiling;A. Shutov and A. Maleev;A;September 2019;0;0;0;0;1;127;fa;;;"vertex graph of the Ammann-Beenker tiling; coordination sequences; coordination shells; growth form";
Local and global color symmetries of a symmetrical pattern;A. K. Abila, M. L. A. N. De Las Peñas and E. Taganap;A;September 2019;0;0;0;0;2;164;fa;;;"color symmetry; local symmetry; global symmetry; perfect colorings; transitive perfect colorings";2.7 (3,3,2)
Robust minimal matching rules for quasicrystals;P. Kalugin and A. Katz;A;September 2019;0;1;1;0;2;199;fa;;;"quasicrystals; matching rules; quasiperiodic tilings";5.0 (5,5,5)
Perfect colorings of patterns with multiple orbits;A. Junio and M. L. Walo;A;November 2019;0;0;0;0;2;199;fa;;;"perfect colorings; multiple orbits; color sharing";3.0 (3,3,3)
Geometric realizations of abstract regular polyhedra with automorphism group H3;J. A. L. Aranas and M. L. Loyola;A;May 2020;0;0;0;0;3;206;fa;;;"abstract regular polyhedra; geometric realizations; non-crystallographic Coxeter group H3; string C-groups";3.0 (3)
On Cayley graphs of {\bb Z}^4;I. A. Baburin;A;September 2020;0;0;0;0;1;599;fa;;Open;"Cayley graphs; free abelian groups; computational group theory; vertex-transitive graphs; isotopy";3.5 (4,3)
Tilings by hexagonal prisms and embeddings into primitive cubic networks;M. M. Bouniaev, N. P. Dolbilin and M. I. Shtogrin;A;September 2020;0;0;0;0;2;85;sc;;;"tilings; primitive cubic networks; parallelohedra; embeddings; hexagonal prisms";3.5 (4,3)
Isogonal non-crystallographic periodic graphs based on knotted sodalite cages;O. Delgado-Friedrichs, M. O'Keeffe and M. M. J. Treacy;A;November 2020;0;0;0;0;1;68;fa;;;"knotted zeolite frameworks; linked zeolite frameworks; non-crystallographic symmetry; Systre";3.0 (4,3,2)
Determination of stacking ordering in disordered close-packed structures from pairwise correlation functions;P. Serrano-Alfaro, E. Estevez-Rams, R. Lora-Serrano and B. Aragon-Fernandez;A;January 2019;0;0;0;0;2;643;fa;;;"close-packed structures; disorder; correlation functions";3.0 (3,3)
Simulating the diffraction line profile from nanocrystalline powders using a spherical harmonics expansion;K. R. Beyerlein and P. Scardi;A;November 2018;0;0;0;0;2;272;fa;;;"line profile analysis; nanocrystalline materials; powder diffraction; domain size broadening";3.0 (4,3,2)
A hidden Markov model for describing turbostratic disorder applied to carbon blacks and graphene;A. G. Hart, T. C. Hansen and W. F. Kuhs;A;May 2019;0;0;0;0;2;227;fa;;;"turbostratic disorder; carbon blacks; hidden Markov model; scattering cross sections";3.0 (3)
Data-driven approach for synchrotron X-ray Laue microdiffraction scan analysis;Y. Song, N. Tamura, C. Zhang, M. Karami and X. Chen;A;November 2019;0;1;0;0;1;298;fa;;;"synchrotron X-ray microdiffraction; data-driven analysis; PCA labeler; unsupervised learning; property maps";3.0 (3,3)
SPIND-TC: an indexing method for two-color X-ray diffraction data;X. Li, C. Li and H. Liu;A;May 2020;0;0;0;0;2;2585;fa;;Open;"serial crystallography; two-color diffraction; indexing algorithm";3.0 (4,3,2)
Effect of radiation damage and illumination variability on signal-to-noise ratio in X-ray free-electron laser single-particle imaging;T. E. Gureyev, A. Kozlov, A. J. Morgan, A. V. Martin and H. M. Quiney;A;November 2020;0;0;0;0;2;101;fa;;;"XFEL imaging; radiation damage; signal-to-noise ratio; X-ray free-electron laser imaging; spatial resolution";3.0 (3)
Algebraic approximations of a polyhedron correlation function stemming from its chord-length distribution;S. Ciccariello;A;January 2021;0;0;0;0;2;72;sc;;;"small-angle scattering; polyhedra; chord-length distribution; correlation functions; asymptotic behaviour";3.0 (3)
Comparison of azimuthal plots for reflection high-energy positron diffraction (RHEPD) and reflection high-energy electron diffraction (RHEED) for Si(111) surface;Z. Mitura;A;May 2020;0;0;0;0;2;145;fa;;;"dynamical diffraction theory; azimuthal plots; Renninger scans; Kikuchi patterns";2.5 (3,2)
Testing of a `hard' X-ray interferometer for experimental investigations;T. H. Eyramjyan, M. H. Mesropyan, T. S. Mnatsakanyan and M. K. Balyan;A;May 2020;0;0;0;0;2;93;fa;;;"X-rays; LLL interferometer; `hard' LLL interferometer; moiré fringes";1.0 (1)
New kind of interference in the case of X-ray Laue diffraction in a single crystal with uneven exit surface under the conditions of the Borrmann effect. Analytical solution;V. G. Kohn and I. A. Smirnova;A;May 2020;0;0;0;0;1;50;fa;;;"X-ray diffraction; topography; intensity increase effect; uneven exit surface; single crystals";2.0 (3,1)
Indexing of diffraction patterns for determination of crystal orientations;A. Morawiec;A;November 2020;0;0;0;0;1;186;fa;;;"diffraction; crystal orientation; indexing; crystallographic computing";2.5 (3,2)
X-ray microbeam diffraction in a crystal;V. I. Punegov and A. V. Karpov;A;March 2021;0;0;0;0;1;101;fa;;;"dynamical diffraction theory; X-ray microbeams; geometrical optics; Fresnel approximation; reciprocal-space maps; dynamical diffraction; kinematical approximation";2.5 (4,1)
Small-angle X-ray scattering from GaN nanowires on Si(111): facet truncation rods, facet roughness and Porod's law;V. M. Kaganer, O. V. Konovalov and S. Fernández-Garrido;A;January 2021;0;0;0;0;1;335;fa;;Open;"nanowires; Porod's law; facet truncation rods; small-angle X-ray scattering; SAXS; grazing-incidence small-angle X-ray scattering; GISAXS";3.0 (3,3)
Axial point groups: rank 1, 2, 3 and 4 property tensor tables;D. B. Litvin;A;May 2015;0;0;0;0;1;325;sc;;;"axial point groups; property tensors; nanotubes; multiferroic hexaferrites";3.0 (3,3)
The wavevector substar group in reciprocal space and its representation;I. H. Kim, J. Pak, I. H. Kim, S. W. Kim and L. Li;A;September 2017;0;0;0;0;1;408;fa;;;"wavevector substar group; representation of wavevector substar group; star channel group; translational symmetry breaking; phase transitions";2.0 (3,1)
Variation of second-order piezoelectric coefficients with respect to a finite strain measure;G. Jurczak;A;September 2018;0;0;0;0;2;158;fa;;;"piezoelectricity; nonlinear piezoelectricity; elastostriction; finite strain measure";3.0 (3)
Revisiting La0.5Sr1.5MnO4 lattice distortion and charge ordering with multi-beam resonant diffraction;W.-C. Liu, Y.-H. Chiu, Y.-Y. Kung, P.-Y. Liao, C.-H. Cheng, Y.-C. Chih, Y.-W. Tsai, C.-H. Chu, C.-H. Lai, D.-J. Huang, Y.-L. Soo and S.-L. Chang;A;January 2017;0;0;0;0;1;526;fa;;;"X-ray multiple diffraction; dynamical X-ray diffraction theory; La0.5Sr1.5MnO4";3.0 (3,3)
Complex structural ordering of the oxygen deficiency in La0.5Ca2.5Mn2O7−δ Ruddlesden-Popper phases;D. González-Merchante, R. Cortés-Gil, J. M. Alonso, E. Matesanz, J. L. Martínez, A. Rivera-Calzada, J. Santamaría, M. L. Ruiz-González and J. M. González-Calbet;A;July 2019;0;0;0;0;1;172;fa;;Open;"manganese Ruddlesden-Popper-related phases; oxygen vacancies; atomic resolution";3.0 (3,3)
X-ray interference fringes from a weakly bent plane-parallel crystal with negative strain gradient;T. Fukamachi, S. Jongsukswat, D. Ju, R. Negishi, K. Hirano and T. Kawamura;A;November 2019;0;0;0;0;1;1032;fa;;Open;"interference fringes; mirage fringes; X-ray beam trajectory; bent crystal; multiple Bragg diffraction; dynamical theory of X-ray diffraction";3.0 (3,3)
